Unnamed: 0,review,score,thumbsUpCount,reviewCreatedVersion,replyContent,timeToReply
8767,"The transaction process is still quite complicated and difficult to understand.",1,0,33.0,"We apologize for the inconvenience. Please refer to the user manual for further assistance.",0 days 15:20:00
8768,"I'm experiencing issues with the app's login feature. It keeps asking me to update my password, but I'm not sure what the issue is.",1,0,33.0,"Please try restarting the app and then try logging in again. If the issue persists, please contact our customer support.",0 days 14:45:00
8769,"It's frustrating that the app doesn't allow me to upload a selfie for verification. Can this feature be improved?",2,0,33.0,"We're working on improving the app's features. In the meantime, please try taking a clear photo of your ID and try again.",0 days 16:10:00
8770,"I'm having trouble with the app's customer support. I've been waiting for a response for days, and I'm getting frustrated.",2,0,33.0,"We apologize for the delay. Please try contacting us again, and we'll do our best to respond promptly.",0 days 03:20:00
8771,"The app is slow and takes a long time to load. Can this be improved?",3,0,33.0,"We're working on optimizing the app's performance. In the meantime, please try closing other apps and see if that improves the loading time.",0 days 14:30:00
8772,"I'm experiencing issues with the app's transaction history. It's not showing all my transactions correctly.",0,0,33.0,"Please try restarting the app and then check your transaction history again. If the issue persists, please contact our customer support.",0 days 15:45:00
8773,"BANKApp is quite useful for digital payments, but sometimes it's slow.",4,0,33.0,"We appreciate your feedback. We're constantly improving our app to make it more efficient for our customers. Thanks~Rida",0 days 10:00:00
8774,"It's easy to use, but the login process is a bit lengthy.",2,0,33.0,"Please ensure you're using the correct login credentials. If the issue persists, kindly contact our support team at BANKApp@BANK.co.id. Thanks~Lily",0 days 03:00:00
8775,"The app is convenient for transactions, but the customer service is lacking.",1,0,32.0,"We apologize for any inconvenience. Please note that our customer support team is available 24/7 to assist you. You can reach us at 08121214017 or email BANKApp@BANK.co.id. Thanks~Una",0 days 15:00:00
8776,"The app is easy to use, but there are some issues with the QRIS payment.",3,0,33.0,"We're sorry for any trouble you've encountered. Please try restarting the app and retry the transaction. If the issue persists, kindly contact our support team. Thanks~Dio",0 days 06:00:00
8777,"I'm not sure why purchasing credit has become difficult now.",2,0,28.0,"Please ensure you're using the correct login credentials. If the issue persists, kindly contact our support team at BANKApp@BANK.co.id. Thanks~Sora",0 days 09:00:00
8778,"The app is quite user-friendly, but it's not perfect.",0,0,33.0,"We appreciate your feedback. We're constantly improving our app to make it more efficient for our customers. Thanks~Rida",0 days 02:00:00
8785,"Saya tidak puas dengan aplikasi ini karena tidak dapat mengecek saldo saya secara online.",1,0,32.0,"We apologize for the inconvenience. Please try again later. If the issue persists, please contact our customer support.",0 days 00:00:00
8786,"Kesulitan dengan aplikasi ini karena saya tidak dapat melakukan transfer uang ke rekening lain.",2,0,33.0,"Sorry to hear that. Can you please provide more details about the issue you're experiencing? We'll be happy to help you resolve it.",0 days 00:00:00
8787,"Saya mencoba menggunakan aplikasi ini untuk mengirim uang ke teman saya, tetapi aplikasi ini tidak dapat berfungsi dengan baik.",3,0,32.0,"Thank you for trying out our app! Can you please try again and see if the issue persists? If not, please let us know and we'll be happy to assist you.",0 days 00:00:00
8788,"Saya tidak dapat mengakses aplikasi ini karena saya tidak memiliki koneksi internet yang stabil.",0,0,33.0,"Sorry to hear that. Please make sure your internet connection is stable and try again. If the issue persists, please contact our customer support.",0 days 00:00:00
8789,"Saya mencoba menggunakan aplikasi ini untuk melihat saldo saya, tetapi aplikasi ini tidak dapat menampilkan saldo saya.",4,0,33.0,"Thank you for using our app! We're glad to hear that you're able to see your balance now. If you have any further issues, please don't hesitate to reach out to us.",0 days 00:00:00
8790,"Saya tidak puas dengan aplikasi ini karena aplikasi ini tidak dapat memproses transaksi saya dengan cepat.",1,0,32.0,"Sorry to hear that. We're working hard to improve our app's performance. Can you please try again and see if the issue persists? If not, please let us know and we'll be happy to assist you.",0 days 00:00:00
8791,"I'm having trouble with the registration process. It keeps failing and I don't know why.",1,0,32.0,"We apologize for the inconvenience. Please try again and if the issue persists, contact our customer support.",0 days 00:00:00
8792,"I'm not impressed with the app's performance. It takes a long time to load and sometimes crashes.",2,0,33.0,"We apologize for the inconvenience. Please try restarting the app and check for any updates. If the issue persists, contact our customer support.",0 days 00:00:00
8793,"I've been using the app for a while now and it's been working fine, but lately, it's been giving me errors.",3,0,33.0,"We apologize for the inconvenience. Please try restarting the app and check for any updates. If the issue persists, contact our customer support.",0 days 00:00:00
8794,"I'm very disappointed with the app. It's slow and unresponsive.",0,0,32.0,"We apologize for the inconvenience. Please try restarting the app and check for any updates. If the issue persists, contact our customer support.",0 days 00:00:00
8795,"I've tried to use the app several times, but it keeps giving me an error message.",1,0,33.0,"We apologize for the inconvenience. Please try restarting the app and check for any updates. If the issue persists, contact our customer support.",0 days 00:00:00
8796,"I'm having trouble with the app's user interface. It's not intuitive and takes a long time to navigate.",2,0,33.0,"We apologize for the inconvenience. Please try restarting the app and check for any updates. If the issue persists, contact our customer support.",0 days 00:00:00
8803,"Can't log in because the password reset link doesn't work.",1,0,33.0,"Sorry to hear that. Please try again and if the issue persists, email us at BANKApp@BANK.co.id.",0 days 12:00:00
8804,"Sometimes the app crashes when I try to make a payment.",2,0,32.0,"We apologize for the inconvenience. Please try restarting the app and if the issue persists, email us at BANKApp@BANK.co.id.",0 days 14:30:00
8805,"The app is slow to load sometimes, but it's still usable.",3,0,33.0,"Thank you for your feedback. We'll look into improving the app's performance.",0 days 10:15:00
8806,"I had trouble uploading a photo for verification, but it eventually worked.",1,0,33.0,"Sorry to hear that. Please try again and if the issue persists, email us at BANKApp@BANK.co.id.",0 days 15:45:00
8807,"The app is user-friendly, but I wish there were more features.",2,0,32.0,"Thank you for your feedback. We'll consider adding more features in the future.",0 days 11:00:00
8808,"I'm generally satisfied with the app, but sometimes it takes a while to load.",3,0,33.0,"Thank you for your feedback. We'll look into improving the app's performance.",0 days 12:30:00
8809,"Need improvement in terms of user interface.",1,0,33.0,"Thank you for your feedback. We will consider your suggestion for future updates. ~Yuka",0 days 00:00:00
8810,"Not user-friendly, need better navigation.",2,0,33.0,"Sorry to hear that. We will review our navigation system and provide a better experience in the future. ~Erza",0 days 00:00:00
8811,"Can't log in, keeps saying invalid password.",2,0,33.0,"We apologize for the inconvenience. Please try resetting your password and try again. If the issue persists, please contact our support team. ~Una",0 days 00:00:00
8812,"Too many ads, it's annoying.",3,0,33.0,"Thank you for your feedback. We will consider reducing the number of ads in the future. ~Dio",0 days 00:00:00
8813,"Can't transfer money, always fails.",1,0,33.0,"Sorry to hear that. Please try again and if the issue persists, please contact our support team. ~Mawar",0 days 00:00:00
8814,"Need more payment options.",3,0,33.0,"Thank you for your suggestion. We will consider adding more payment options in the future. ~Rida",0 days 00:00:00
8815,"Very poor user experience.",1,0,33.0,"Please improve the user interface.",0 days 00:00:00
8816,"Confusing registration process.",2,0,33.0,"Simplify the registration process.",0 days 00:00:00
8817,"Slow app performance.",3,0,33.0,"Optimize the app for better performance.",0 days 00:00:00
8818,"Unhelpful customer support.",0,0,33.0,"Improve customer support.",0 days 00:00:00
8819,"Inconsistent app behavior.",2,0,33.0,"Fix the app's inconsistent behavior.",0 days 00:00:00
8820,"Inadequate features.",3,0,33.0,"Add more features to the app.",0 days 00:00:00
8821,"Saya tidak puas dengan fitur ini.",1,0,32.0,"We apologize for the inconvenience. Please try again.",0 days 00:00
8822,"Sulit untuk registrasi.",1,0,33.0,"Please ensure your internet connection is stable.",0 days 00:00
8823,"Aplikasi tidak stabil.",2,0,32.0,"We apologize for the issue. Please try again.",0 days 00:00
8824,"Saya tidak dapat mengakses internet.",2,0,33.0,"Please check your internet connection.",0 days 00:00
8825,"Saya tidak puas dengan sistem keamanan.",1,0,33.0,"We apologize for the concern. Please contact our support team.",0 days 00:00
8826,"Aplikasi tidak berfungsi.",3,0,32.0,"We apologize for the inconvenience. Please try again.",0 days 00:00
8827,""I'm frustrated with the slow loading time of the app."",1,0,33.0,"We apologize for the inconvenience. Please try restarting your device and check if the issue persists. If so, kindly reach out to us via WhatsApp at 08121214017 or email BANKApp@BANK.co.id. Thanks~Asri",0 days 02:30:00
8828,""It's quite annoying to have to repeat the same process multiple times."",1,0,31.0,"Sorry to hear that. Can you please provide more details about the process you're experiencing issues with? We'll do our best to assist you. Thanks~Lily",0 days 11:59:00
8829,""I'm having trouble finding the correct option in the menu."",2,0,33.0,"We apologize for the inconvenience. Can you please try searching for the option you're looking for using the search function? If you still can't find it, kindly reach out to us via WhatsApp at 08121214017 or email BANKApp@BANK.co.id. Thanks~Diva",0 days 04:20:00
8830,""The app is slow and keeps crashing."",2,0,32.0,"Sorry to hear that. Can you please try restarting your device and check if the issue persists? If so, kindly reach out to us via WhatsApp at 08121214017 or email BANKApp@BANK.co.id. Thanks~Belin",0 days 10:45:00
8831,""I'm having trouble logging in because the OTP is not sent to my email."",3,0,33.0,"We apologize for the inconvenience. Can you please check your email spam folder and ensure that our email address is not blocked? If you still can't receive the OTP, kindly reach out to us via WhatsApp at 08121214017 or email BANKApp@BANK.co.id. Thanks~Riyo",0 days 14:10:00
8832,""I'm not satisfied with the customer support."",3,0,34.0,"Sorry to hear that. Can you please provide more details about your experience with our customer support? We'll do our best to improve our service. Thanks~Johan",0 days 05:30:00
8833,"Sulit digunakan, kualitas aplikasi sangat buruk",1,0,33.0,"We apologize for the inconvenience. Please provide the issue details via WhatsApp at 08121214017 or email at BANKApp@BANK.co.id.",0 days 01:15:00
8834,"Tidak dapat login, aplikasi error",1,0,33.0,"Kindly provide the error message through WhatsApp at 08121214017 or email at BANKApp@BANK.co.id. If everything is fine, we would appreciate a 5-star rating from you.",0 days 02:35:00
8835,"Banyak masalah, aplikasi tidak stabil",2,0,33.0,"We apologize for the inconvenience. Please provide the issue details via WhatsApp at 08121214017 or email at BANKApp@BANK.co.id. If everything is fine, we would appreciate a 5-star rating from you.",0 days 03:45:00
8836,"Saya tidak puas dengan aplikasi, kualitas tidak bagus",3,0,33.0,"We appreciate your feedback. If you find the issue resolved, we would appreciate a 5-star rating from you. Thank you.",0 days 04:55:00
8837,"Aplikasi tidak dapat digunakan, tidak stabil",1,0,33.0,"Kindly provide the error message through WhatsApp at 08121214017 or email at BANKApp@BANK.co.id. If everything is fine, we would appreciate a 5-star rating from you.",0 days 06:15:00
8838,"Kualitas aplikasi sangat buruk, tidak dapat dipercaya",0,0,33.0,"We apologize for the inconvenience. Please provide the issue details via WhatsApp at 08121214017 or email at BANKApp@BANK.co.id.",0 days 07:35:00
8851,"Saya tidak terlalu puas dengan aplikasi ini karena beberapa fitur tidak berfungsi dengan baik",4,0,32.0,"We appreciate your feedback. Please let us know which features are not working well so we can improve them. Thanks, Satria",0 days 00:00:00
8852,"Kesulitan saat mencoba register aplikasi, tidak bisa memilih nomor HP yang saya inginkan",1,0,33.0,"Sorry to hear that you're having trouble registering. Can you please provide more details so we can assist you further? Thanks, Rida",0 days 00:00:00
8853,"Aplikasi bagus, tapi perlu lebih banyak fitur untuk memudahkan transaksi",3,0,32.0,"Thank you for your feedback! We're glad you like the app. We'll consider adding more features to make transactions easier. Thanks, Mia",0 days 00:00:00
8854,"Saya tidak puas dengan aplikasi ini, aplikasi ini tidak stabil dan seringkali mengalami error",0,0,33.0,"Sorry to hear that you're not satisfied with the app. We apologize for the inconvenience. Can you please provide more details so we can improve the app? Thanks, Heru",0 days 00:00:00
8855,"Aplikasi baik, tapi perlu perbaikan pada fitur pengaturan biaya",2,0,32.0,"Thank you for your feedback! We'll consider improving the fee setting feature. Can you please provide more details on what you would like to see improved? Thanks, Arum",0 days 00:00:00
8856,"Saya tidak memiliki masalah dengan aplikasi ini, aplikasi ini sangat membantu",4,0,33.0,"Thank you for your positive feedback! We're glad to hear that the app has been helpful for you. Thanks, Asri",0 days 00:00:00
8857,"I'm having trouble accessing my account. Every time I try to log in, it says 'invalid password'.",1,0,33.0,"We're sorry for the issue. Please try resetting your password and check your login details again.",3 days 14:30:00
8858,"It's okay, I guess. The app is easy to use, but sometimes it crashes and I have to restart it.",2,0,32.0,"Thanks for the feedback! We're working on improving the app's stability.",1 days 10:45:00
8859,"The app is really helpful, but sometimes it takes a while to load. Maybe improve the loading speed?",3,0,33.0,"Thanks for the suggestion! We're looking into optimizing the app's performance.",0 days 09:22:00
