,review,score,thumbsUpCount,reviewCreatedVersion,replyContent,timeToReply
8767,"Saya tidak puas dengan aplikasi ini karena tidak stabil dan sering error",1,0,32.0,"We apologize for the inconvenience. Please try again later and ensure your internet connection is stable.",0 days 02:31:00
8768,"BANKApp tidak dapat saya andalkan karena sering gagal",2,0,33.0,"We're sorry to hear that. Please provide more details about the issue and we'll assist you further.",0 days 00:05:00
8769,"Aplikasi BANKApp memang bagus, tapi kadang-kadang tidak stabil",3,0,33.0,"Thank you for your feedback. We're always improving our app to provide a better experience.",0 days 03:21:00
8770,"Saya tidak puas dengan fitur transfer di BANKApp",1,0,32.0,"We apologize for the inconvenience. Please try again later and ensure your internet connection is stable.",0 days 01:45:00
8771,"BANKApp sering error dan tidak dapat saya andalkan",2,0,33.0,"We're sorry to hear that. Please provide more details about the issue and we'll assist you further.",0 days 01:11:00
8772,"Aplikasi BANKApp bagus, tapi perlu diperbaiki fitur lainnya",3,0,33.0,"Thank you for your feedback. We're always improving our app to provide a better experience.",0 days 02:59:00
8773,"Cannot access my account due to incorrect password.",1,0,33.0,"Please check your password and try again. If you still encounter issues, please contact our customer support team.",0 days 00:01:00
8774,"Frequently encountering issues with face verification.",2,0,33.0,"We apologize for the inconvenience. Please ensure your video quality is adequate and follow the instructions provided during face verification.",0 days 00:15:00
8775,"App is user-friendly, but sometimes takes time to load.",3,0,33.0,"We appreciate your feedback. We're working to improve the app's performance. If you have any further issues, please contact our customer support team.",0 days 00:30:00
8776,"I'm very satisfied with the app's ease of use.",4,0,33.0,"Thank you for your positive feedback! We're glad you're enjoying the app. If you have any further suggestions, please let us know.",0 days 00:45:00
8777,"I'm experiencing difficulties with the app's design.",1,0,33.0,"We apologize for the inconvenience. Please try restarting the app and see if the issue resolves. If not, please contact our customer support team.",0 days 01:00:00
8778,"App is generally easy to use, but sometimes crashes.",2,0,33.0,"We apologize for the inconvenience. Please try closing and reopening the app to see if the issue resolves. If not, please contact our customer support team.",0 days 01:15:00
8779,"BANKApp is really difficult to use. It's like they're trying to make it complicated on purpose.",1,0,33.0,"We're sorry for the inconvenience. Please try restarting the app and check if the issue persists. If not, please email us at BANKApp@BANK.co.id. Thanks~Dio",0 days 00:05:00
8780,"I was trying to register but the video quality is really bad and it keeps failing.",1,0,32.0,"Please ensure the video quality is optimal: avoid excessive backlight, don't face the light, avoid dimness, and ensure no additional faces or obstructions are present. If you still face issues, please email us at BANKApp@BANK.co.id. Thanks~Asri",0 days 04:00:00
