,review,score,thumbsUpCount,reviewCreatedVersion,replyContent,timeToReply
8767,"Failed to withdraw cash due to insufficient balance, frustrating!",1,0,32.0,"We apologize for the inconvenience. Please check your account balance and try again. ~Lena",0 days 02:15:00
8768,"Can't register account, app keeps crashing",1,0,33.0,"Sorry to hear that. Please try restarting the app and check for any updates. If the issue persists, please contact us via email at BANKApp@BANK.co.id. ~Una",0 days 03:42:00
8769,"Can't transfer money to another account, error message keeps popping up",2,0,33.0,"We apologize for the trouble. Please ensure you have sufficient balance and try again. If the issue persists, please contact us via WhatsApp at 08121214017. ~Rida",0 days 04:30:00
8770,"Slow loading time and frequent crashes, making it hard to use",2,0,33.0,"Sorry to hear that. We're working to improve the app's performance. In the meantime, please try restarting the app and check for any updates. ~Lily",0 days 05:15:00
8771,"Can't find the correct transaction history, very frustrating!",2,0,33.0,"We apologize for the inconvenience. Please try searching for the transaction again or contact us via email at BANKApp@BANK.co.id. ~Oscar",0 days 06:00:00
8772,"Can't login to my account, keeps saying invalid credentials",1,0,33.0,"Sorry to hear that. Please ensure you're using the correct login credentials and try again. If the issue persists, please contact us via WhatsApp at 08121214017. ~Mawar",0 days 07:00:00
8773,"Error occurred when transferring money, please fix this issue.",1,0,32.0,"We apologize for the inconvenience. Please try restarting the app and check your internet connection. If the issue persists, please contact our customer service.",0 days 09:10:00
8774,"App crashes when trying to access account balance.",1,0,32.0,"Sorry to hear that. Please try updating the app to the latest version and check if the issue is resolved. If not, please contact our customer service.",0 days 02:35:00
8775,"Suggest to add more payment options.",2,0,33.0,"Thank you for your feedback! We're constantly working to improve the app and will consider your suggestion. In the meantime, you can still use our existing payment options.",0 days 12:45:00
8776,"Sometimes takes a while to load.",2,0,32.0,"We apologize for the delay. Please ensure your internet connection is stable and try restarting the app. If the issue persists, please contact our customer service.",0 days 14:22:00
8777,"App is generally good, but sometimes freezes.",2,0,33.0,"Thank you for your feedback! We're glad you like the app overall. If you experience any further issues, please contact our customer service and we'll be happy to assist.",0 days 03:15:00
8778,"Need more information on how to use certain features.",3,0,33.0,"Thank you for your feedback! We'll make sure to improve our documentation and provide more information on how to use our features. In the meantime, you can contact our customer service for assistance.",0 days 10:45:00
8779,"BANKApp doesn't allow me to access my account due to password issues.",1,0,33.0,"Please ensure your account details are correct and try again. If the issue persists, contact our customer support.",0 days 14:01:00
8780,"BANKApp is not user-friendly and keeps asking for unnecessary information.",2,0,32.0,"We apologize for the inconvenience. Please provide more details about the issue you're facing and we'll be happy to assist you.",0 days 17:04:00
8781,"I had trouble updating the app, it kept crashing and wouldn't install.",1,0,33.0,"Sorry to hear that. Please try restarting your device and then reinstall the app. If the issue persists, contact our customer support.",0 days 19:02:00
8782,"BANKApp doesn't have a feature to track my transactions history.",2,0,33.0,"We're sorry for the inconvenience. You can track your transactions by logging into your account and viewing your transaction history.",0 days 12:34:00
8783,"I couldn't find the option to reset my password on the app.",1,0,33.0,"Please try clicking on the 'Forgot Password' button and follow the prompts to reset your password. If you need further assistance, contact our customer support.",0 days 15:01:00
8784,"BANKApp doesn't allow me to send money to international recipients.",2,0,33.0,"We apologize for the limitation. You can contact our customer support to explore alternative options for international money transfers.",0 days 16:03:00
8785,"Satisfactory experience, but occasional issues with login.",1,0,32.0,"Please ensure your internet connection is stable. If the issue persists, kindly email the problem details to BANKApp@BANK.co.id. Thanks, Rida.",0 days 02:45:00
8786,"Not bad, but the app could be improved with more features.",2,0,33.0,"We appreciate your feedback. We're always looking for ways to enhance the BANKApp app. Thank you, Una.",0 days 05:30:00
8787,"Decent app, but it's not perfect.",2,0,32.0,"Hello BANK Friend, we appreciate your feedback. We're constantly improving the BANKApp app. Thank you, Johan.",0 days 11:00:00
8788,"Okay, but the app is sometimes slow.",1,0,33.0,"We apologize for any inconvenience. Please ensure your phone's operating system is up-to-date. If the issue persists, kindly email the problem details to BANKApp@BANK.co.id. Thanks, Mawar.",0 days 04:15:00
8789,"Good, but not excellent.",3,0,32.0,"We appreciate your feedback. We're glad you find the BANKApp app good. We're always looking for ways to improve. Thank you, Tika.",0 days 08:10:00
8790,"Fair experience, but the app could be more user-friendly.",2,0,33.0,"Hello BANK Friend, we appreciate your feedback. We're constantly improving the BANKApp app. Thank you, Bevi.",0 days 10:45:00
8791,"Frustrating experience with slow loading times and constant errors. Can't even log in sometimes.",1,0,33.0,"We're sorry to hear that you're experiencing issues with the app. Please try restarting your device and check your internet connection. If the problem persists, contact our support team.",0 days 04:00:00
8792,"Can't believe I wasted my time downloading this useless app. No functionality whatsoever.",1,0,33.0,"Sorry to hear that you're not satisfied with our app. If you need assistance, please contact our support team at 08121214017 or email us at BANKApp@BANK.co.id.",0 days 11:00:00
8793,"Slow and buggy app that always crashes. Can't even complete transactions.",2,0,33.0,"We apologize for the inconvenience. Please try updating your app to the latest version. If the problem persists, contact our support team.",0 days 02:00:00
8794,"App is okay, but the customer service is terrible. Took me hours to resolve an issue.",2,0,33.0,"Sorry to hear that you had a bad experience with our customer service. We'll do our best to improve our service.",0 days 09:00:00
8795,"App is useful for basic transactions, but the interface is outdated and confusing.",2,0,33.0,"We appreciate your feedback. We're working on updating our app's interface to make it more user-friendly.",0 days 05:00:00
8796,"App is decent, but the customer support is unresponsive. Took me a while to get help.",3,0,33.0,"We apologize for the delay in responding to your issue. We'll do our best to improve our customer support.",0 days 01:00:00
8797,"I'm so frustrated with this app, it's always freezing and I can't do anything.",1,0,33.0,"We apologize for the inconvenience. Please restart the app and try again. If the issue persists, contact our support team.",0 days 02:15:00
8798,"The app is slow and not user-friendly. It takes a lot of time to complete a transaction.",2,0,33.0,"We appreciate your feedback. We're working on improving the app's performance. In the meantime, try closing other apps and background processes to improve speed.",0 days 08:22:00
8799,"I had trouble logging in, it kept saying my password was incorrect. Very frustrating!",3,0,33.0,"Sorry to hear that. Try resetting your password and see if that solves the issue. If not, please contact our support team.",0 days 04:10:00
8800,"The app doesn't allow me to make transactions when I'm offline. Can you fix this?",1,0,33.0,"We're working on enabling offline transactions. In the meantime, try checking your internet connection and restarting the app.",0 days 12:05:00
