,review,score,thumbsUpCount,reviewCreatedVersion,replyContent,timeToReply
8767,"The app is constantly freezing. I can't even check my balance without it crashing. Extremely frustrating!",1,0,33.0,"Hello BANK Friend, we're sorry for the inconvenience. Please try updating the app and clearing its cache. If the issue persists, contact us at BANKApp@BANK.co.id with details. Thanks, Diva",0 days 04:23:00
8768,"I've been locked out of my account for days. Customer support is unresponsive. This is unacceptable for a bank!",1,0,33.0,"Dear BANK customer, we apologize for the trouble. Please contact our support team at 14017 immediately for account access issues. We're here to help. Thanks, Mawar",0 days 02:15:00
8769,"The face recognition feature never works. I've tried countless times and it always fails. Very inconvenient.",2,0,32.0,"Hello BANK Friend, we're sorry for the difficulty. Please ensure good lighting when using face recognition. For persistent issues, contact us at 08121214017 for assistance. Thanks, Uswah",1 days 00:45:00
8770,"Transfers are unreliable. Sometimes they go through instantly, other times it takes hours. I can't trust this app for important transactions.",2,0,33.0,"Dear BANK customer, we apologize for the inconsistent experience. Please check your internet connection during transfers. If issues continue, email us at BANKApp@BANK.co.id with details. Thanks, Belin",0 days 22:30:00
8771,"The app works okay most of the time, but it's missing some features that other banking apps have. It could be better.",3,0,33.0,"Hello BANK Friend, thank you for your feedback. We're continuously working to improve our app. If you have specific feature requests, please email them to BANKApp@BANK.co.id. Thanks, Rida",2 days 03:10:00
8772,"The interface is a bit clunky. It takes too many steps to do simple tasks. It's functional but not very user-friendly.",3,0,32.0,"Dear BANK customer, we appreciate your input. We're always looking to enhance user experience. Your feedback helps us improve. For specific suggestions, please contact us at BANKApp@BANK.co.id. Thanks, Heru",1 days 05:20:00
8773,"I keep getting error messages when trying to pay bills. It's making me miss payment deadlines. Fix this ASAP!",1,0,33.0,"Hello BANK Friend, we're sorry for the inconvenience. Please ensure you have a stable internet connection. If the problem persists, contact us at 14017 with error details. Thanks, Lily",0 days 03:40:00
8774,"The app logs me out randomly, even in the middle of transactions. This is dangerous and needs to be fixed.",2,0,33.0,"Dear BANK customer, we apologize for this issue. Please update to the latest version of the app. If the problem continues, email us at BANKApp@BANK.co.id with your device details. Thanks, Asri",1 days 01:55:00
8775,"It's okay for basic banking, but the load times are slow. Could be faster and more efficient.",3,0,32.0,"Hello BANK Friend, thank you for your feedback. We're working on improving app performance. Please ensure you're using the latest version. For persistent slow speeds, contact us at 08121214017. Thanks, Dio",2 days 02:30:00
8776,"Security concerns! The app asked for permissions that seem unnecessary. I don't feel safe using it.",1,0,33.0,"Hello BANK Friend, we take security very seriously. All permissions are for essential functions. For details on each permission, please contact us at BANKApp@BANK.co.id. Thanks, Una",0 days 06:12:00
8777,"Can't view my transaction history beyond a month. This limitation is very inconvenient for managing finances.",2,0,32.0,"Dear BANK customer, we appreciate your feedback. We're working on extending the viewable history. For now, you can request a detailed statement by emailing BANKApp@BANK.co.id. Thanks, Shima",1 days 04:30:00
8778,"The app works fine for basic tasks, but the investment features are limited compared to other banks.",3,0,33.0,"Hello BANK Friend, thank you for your input. We're continuously expanding our investment options. For specific feature requests, please email us at BANKApp@BANK.co.id. Thanks, Lena",2 days 00:45:00
